epoch,train_loss,train_accuracy,val_loss,val_accuracy,seconds,learning_rate,grad_norm/network.1,grad_norm/network.5,grad_norm/network.9,grad_norm/network.13,grad_norm/network.17
1,1.2864568607390874,0.6915873015873016,0.6992178780691964,0.9283333333333333,8.175113792065531,0.003,1.1747451240036089,1.1996115282707407,1.089563902259478,0.9849720291679885,1.6346175295447336
2,1.0220720951140874,0.7926190476190477,0.7020002092633929,0.9319047619047619,8.77475641691126,0.0029996743149601456,0.7887340874841371,0.736886426276967,0.5332984730676951,0.46546812105904983,0.7836971379778712
3,1.0052494109623016,0.8025793650793651,0.6847306315104167,0.9388095238095238,8.055241332971491,0.0029986974026968045,0.7747978559000238,0.69868724842362,0.4637108042760549,0.39146036060933537,0.5782741023804331
4,1.0199289279513888,0.7956746031746031,0.6860015578497024,0.9372619047619047,8.033270083018579,0.002997069691715983,0.7656549753876507,0.6579850095177665,0.4166203997461929,0.35198660913457724,0.5047611681943013
5,1.0312972005208334,0.7905555555555556,0.6942686244419642,0.9335714285714286,8.435880708042532,0.0029947918959855138,0.7769532954027205,0.649586285431373,0.4032370475343036,0.33856983475273633,0.4697645545610922
6,1.0356025235615078,0.7915079365079365,0.7009034946986608,0.9292857142857143,8.34462650003843,0.0029918650146218855,0.7736542987339388,0.6386350447756385,0.3914898325344028,0.329017213153355,0.44531652770066626
7,1.0364706566220239,0.7938492063492063,0.6820004417782738,0.9371428571428572,8.389599042013288,0.0029882903314519993,0.7690933924641101,0.6337727967857709,0.3854472358819797,0.32079477842689164,0.42588492456426474
8,1.0484193638392858,0.7876587301587301,0.6883354840959821,0.9360714285714286,8.278540874947794,0.002984069414450037,0.7747293075329156,0.6331693000599817,0.3922196209128133,0.32669652173966923,0.4249065418533867
9,1.0434707496279763,0.7859920634920635,0.6967910621279761,0.9385714285714286,8.250022499938495,0.002979204115049699,0.780443995132059,0.6306649997149627,0.39158893720752697,0.32598617476255154,0.4150040524865165
10,1.0459254867311507,0.7888492063492063,0.6714510091145833,0.9453571428571429,8.246531040989794,0.002973696567332102,0.7762813664934962,0.6325770731504798,0.39451672704086693,0.3298835560755076,0.40891227141249603
11,1.0459933810763888,0.7901190476190476,0.6773623511904762,0.9413095238095238,8.148677208926529,0.0029675491870897004,0.7848563412119289,0.6371348037332447,0.3985710337682424,0.32911314213941545,0.4077448191376507
12,1.0450633990575398,0.7884920634920635,0.6904389299665179,0.9357142857142857,8.251863208948635,0.0029607646707666417,0.7984203977633249,0.6470620014945868,0.4053769958805917,0.3332834389004005,0.4072973183568964
13,1.0410332961309523,0.7921825396825397,0.6978702218191964,0.9334523809523809,8.163707791012712,0.002953345994276016,0.8020249574922668,0.6425308769729536,0.4025952101964031,0.33492023448653635,0.40177785805639277
14,1.0410363188244047,0.7893253968253968,0.7069972446986608,0.9242857142857143,8.152777332928963,0.0029452964116945214,0.8114058596228585,0.6527467524339705,0.4090443722487706,0.3368338570376943,0.40297791921547826
15,1.0441259765625,0.790079365079365,0.6826279994419643,0.9380952380952381,8.153715499909595,0.0029366194538351185,0.8037760003569162,0.6502646818983978,0.40989363617098273,0.33756217375624603,0.4033523017379838
16,1.044878704737103,0.7893253968253968,0.6733531552269345,0.9423809523809524,8.184318582993,0.0029273189266983022,0.8052754668414895,0.6536047301316624,0.41081698654871907,0.33859574371182977,0.40661195086948765
17,1.0361312624007937,0.7910317460317461,0.6868532017299107,0.9370238095238095,8.282660500030033,0.002917398909802659,0.8129868870459233,0.6554185121797668,0.41176113380393403,0.3401065574684724,0.4011958165822295
18,1.034933578249008,0.7963888888888889,0.6878138369605655,0.9375,8.201553791994229,0.0029068637543954584,0.8130856431680282,0.6563592126526808,0.41534218570302583,0.34227713957655853,0.4031435196774865
19,1.0407166108630952,0.7942857142857143,0.6693648274739583,0.9410714285714286,9.04563429101836,0.0028957180815440526,0.8240237163408154,0.6613060036286484,0.4145577522703839,0.34153716576280935,0.39953009126150063
20,1.0347302827380953,0.7939285714285714,0.6814321754092262,0.9377380952380953,9.393953875056468,0.0028839667801089227,0.8210654476572414,0.6604343162575349,0.41828391757713357,0.34204725081545445,0.4003802071973152
21,1.0327177114335317,0.7936507936507936,0.6957417805989583,0.9394047619047619,8.438934333971702,0.0028716150045992616,0.8298480813273319,0.6625007590666641,0.4209061443503133,0.3454574352593591,0.4018854441376507
22,1.0315732731894842,0.7953174603174603,0.6970887974330358,0.9325,9.460791749996133,0.0028586681729120384,0.8268534858819797,0.6642093561627538,0.4215245513141458,0.3460810704884795,0.39639158297311233
23,1.032942863343254,0.7978571428571428,0.6721489606584822,0.944047619047619,8.585785666946322,0.0028451319639555273,0.8263288004144194,0.6644792895631741,0.42160886193289976,0.3466959919421201,0.3985166985371391
24,1.0418214440724207,0.7942460317460317,0.6888969494047619,0.9308333333333333,8.548524374957196,0.0028310123151583525,0.826387356985644,0.6682196292780378,0.42117681358066306,0.34753305657866035,0.4020179322528355
25,1.0388656374007936,0.7927777777777778,0.6597698102678572,0.9495238095238095,8.53082116600126,0.002816315419865136,0.8370572007852157,0.6758138588842402,0.4283349671339626,0.34780020157092717,0.4016213586487746
26,1.0298116629464287,0.795515873015873,0.6809928385416667,0.9407142857142857,8.079572374932468,0.00280104772461989,0.8392193789409502,0.6730385407578522,0.4225334516031488,0.34628090640615083,0.3966253057954275
27,1.0304781281001985,0.7959920634920635,0.6657527669270833,0.9445238095238095,8.098792957956903,0.002785215926338351,0.8421555727266418,0.6732595995598033,0.42404941616929726,0.3486603867584074,0.3980344588381385
28,1.0352376302083333,0.7946031746031746,0.6558439127604166,0.9491666666666667,8.262300125090405,0.002768826969370491,0.8368543440920447,0.6724085154267132,0.4292884478109137,0.35211499209331376,0.40007390830722556
29,1.0300042627728174,0.7965873015873016,0.6708809407552083,0.9435714285714286,8.261379125062376,0.002751888042454496,0.8384887385489371,0.6647925207457567,0.42413206148873733,0.34966231602702647,0.3984712707209708
30,1.0285111297123015,0.799047619047619,0.6798675827752976,0.9413095238095238,8.348147499957122,0.002734406575563549,0.8437706032380234,0.6850627763622303,0.43715470212365165,0.3548516210565712,0.4008710444881226
31,1.0311495535714286,0.7973809523809524,0.6499591355096727,0.9486904761904762,8.174507791991346,0.0027163902366467954,0.8404339630591687,0.6779960206317418,0.4345354186701896,0.3551964541982273,0.3995322987512889
32,1.0270458984375,0.7979761904761905,0.6641743977864584,0.945952380952381,8.083986458019353,0.0026978469282659297,0.8536236758159502,0.6889801799948445,0.4399525598826142,0.35595393301871825,0.40006604654534816
33,1.029712611607143,0.7986904761904762,0.6598440987723214,0.9488095238095238,8.440719707985409,0.0026787847841288704,0.8475681827758169,0.6857609627815673,0.43593829779455506,0.35259463702361593,0.3994853218194797
34,1.0245294673859127,0.8000396825396825,0.6635597446986607,0.9442857142857143,8.579447083058767,0.0026592121655220455,0.8611704250277602,0.6906694906012056,0.4378328274954394,0.3552757301911485,0.3992535353917156
