factor,level,seed,val_accuracy,train_accuracy,val_loss,best_epoch,epochs_run,n_parameters,seconds,stopped_early,error
optimizer,sgd,0,0.9347619047619048,0.9261904761904762,0.22090481712704613,97,100,537354,155.4,False,
optimizer,sgd,1,0.9371428571428572,0.9265476190476191,0.21551483154296874,100,100,537354,157.4,False,
optimizer,sgd,2,0.9367857142857143,0.9264682539682539,0.2151986113048735,100,100,537354,155.7,False,
optimizer,sgd_momentum,0,0.9686904761904762,0.983531746031746,0.10275248209635417,96,100,537354,167.0,False,
optimizer,sgd_momentum,1,0.9698809523809524,0.9853968253968254,0.09984908331008184,99,100,537354,167.3,False,
optimizer,sgd_momentum,2,0.9707142857142858,0.9832142857142857,0.09919793265206474,97,100,537354,169.8,False,
optimizer,adam,0,0.9764285714285714,0.9935714285714285,0.09986822219122024,19,21,537354,25.8,True,
optimizer,adam,1,0.9753571428571428,0.9927777777777778,0.09483414422898065,20,21,537354,26.2,True,
optimizer,adam,2,0.9760714285714286,0.991031746031746,0.08830624534970238,11,21,537354,26.2,True,
optimizer,adamw,0,0.9770238095238095,0.9955952380952381,0.10430967058454241,18,21,537354,26.4,True,
optimizer,adamw,1,0.9747619047619047,0.9926587301587302,0.09476423717680432,11,17,537354,21.5,True,
optimizer,adamw,2,0.9753571428571428,0.9938492063492064,0.09712589808872768,15,20,537354,25.6,True,
optimizer,rmsprop,0,0.9680952380952381,0.960952380952381,0.11425797962007068,14,35,537354,43.5,True,
optimizer,rmsprop,1,0.9665476190476191,0.964484126984127,0.11473372686476935,15,27,537354,34.1,True,
optimizer,rmsprop,2,0.9679761904761904,0.9631746031746031,0.10931566510881696,19,32,537354,40.2,True,
learning_rate,0.0001,0,0.9738095238095238,0.9952380952380953,0.09353398640950521,39,49,537354,61.6,True,
learning_rate,0.0001,1,0.9747619047619047,0.9945238095238095,0.09234675816127232,38,40,537354,49.8,True,
learning_rate,0.0001,2,0.975,0.9957936507936508,0.08908527192615327,39,42,537354,52.1,True,
learning_rate,0.0003,0,0.9741666666666666,0.996031746031746,0.09617252894810267,19,23,537354,28.4,True,
learning_rate,0.0003,1,0.9757142857142858,0.9963095238095238,0.09867218744187128,23,24,537354,31.8,True,
learning_rate,0.0003,2,0.9751190476190477,0.9951190476190476,0.09112423851376487,19,24,537354,33.7,True,
learning_rate,0.001,0,0.9770238095238095,0.9955952380952381,0.10430967058454241,18,21,537354,28.7,True,
learning_rate,0.001,1,0.9747619047619047,0.9926587301587302,0.09476423717680432,11,17,537354,22.7,True,
learning_rate,0.001,2,0.9753571428571428,0.9938492063492064,0.09712589808872768,15,20,537354,27.4,True,
learning_rate,0.003,0,0.9773809523809524,0.9906349206349206,0.09788200015113467,12,22,537354,30.5,True,
learning_rate,0.003,1,0.9764285714285714,0.9934920634920635,0.10620593843005953,19,19,537354,27.5,True,
learning_rate,0.003,2,0.9771428571428571,0.9933730158730159,0.10524246215820313,17,19,537354,26.0,True,
learning_rate,0.01,0,0.9733333333333334,0.9880952380952381,0.114517088390532,12,14,537354,18.3,True,
learning_rate,0.01,1,0.9729761904761904,0.986031746031746,0.10862601870582217,10,13,537354,17.6,True,
learning_rate,0.01,2,0.9779761904761904,0.9914285714285714,0.11423905872163319,22,27,537354,39.8,True,
batch_size,32,0,0.9775,0.9903174603174603,0.09008616856166295,19,21,537354,125.8,True,
batch_size,32,1,0.9773809523809524,0.9879761904761905,0.09813489641462053,19,21,537354,123.7,True,
batch_size,32,2,0.9786904761904762,0.9907142857142858,0.09150784447079613,16,23,537354,134.0,True,
batch_size,64,0,0.9759523809523809,0.9938888888888889,0.09997845604306176,16,17,537354,51.8,True,
batch_size,64,1,0.9782142857142857,0.9936904761904762,0.1041748773484003,21,27,537354,82.9,True,
batch_size,64,2,0.9771428571428571,0.9928968253968254,0.0978155517578125,17,17,537354,50.7,True,
batch_size,128,0,0.9770238095238095,0.9955952380952381,0.10430967058454241,18,21,537354,25.0,True,
batch_size,128,1,0.9747619047619047,0.9926587301587302,0.09476423717680432,11,17,537354,21.4,True,
batch_size,128,2,0.9753571428571428,0.9938492063492064,0.09712589808872768,15,20,537354,24.2,True,
batch_size,256,0,0.9746428571428571,0.9959523809523809,0.10368895031156994,16,16,537354,11.0,True,
batch_size,256,1,0.9754761904761905,0.9957936507936508,0.09869711013067337,19,21,537354,14.2,True,
batch_size,256,2,0.9754761904761905,0.9968253968253968,0.10038575671968006,18,18,537354,12.1,True,
batch_size,512,0,0.9741666666666666,0.9977380952380952,0.10557742890857515,20,22,537354,9.7,True,
batch_size,512,1,0.975,0.9971825396825397,0.09949061802455357,21,21,537354,9.2,True,
batch_size,512,2,0.9744047619047619,0.9974206349206349,0.1030807131812686,20,21,537354,9.4,True,
activation,relu,0,0.9770238095238095,0.9955952380952381,0.10430967058454241,18,21,537354,27.2,True,
activation,relu,1,0.9747619047619047,0.9926587301587302,0.09476423717680432,11,17,537354,21.7,True,
activation,relu,2,0.9753571428571428,0.9938492063492064,0.09712589808872768,15,20,537354,25.9,True,
activation,leaky_relu,0,0.9751190476190477,0.9918253968253968,0.09734402611142114,11,21,537354,26.9,True,
activation,leaky_relu,1,0.9769047619047619,0.9950793650793651,0.0933492460704985,21,21,537354,26.3,True,
activation,leaky_relu,2,0.975,0.9946428571428572,0.10328678676060268,17,18,537354,23.4,True,
activation,gelu,0,0.9738095238095238,0.9920634920634921,0.09802982148670016,9,15,537354,19.1,True,
activation,gelu,1,0.9763095238095238,0.996468253968254,0.10355224609375,18,21,537354,27.1,True,
activation,gelu,2,0.9766666666666667,0.996468253968254,0.10161799112955729,17,20,537354,25.7,True,
activation,tanh,0,0.9676190476190476,0.9936904761904762,0.1375204322451637,23,24,537354,28.6,True,
activation,tanh,1,0.9719047619047619,0.9934920634920635,0.13478458949497768,25,27,537354,32.7,True,
activation,tanh,2,0.9704761904761905,0.9945238095238095,0.1352847435360863,23,23,537354,28.1,True,
activation,sigmoid,0,0.9705952380952381,0.9890476190476191,0.12419458298456101,31,35,537354,42.7,True,
activation,sigmoid,1,0.9695238095238096,0.9923015873015874,0.12941507975260416,41,41,537354,49.9,True,
activation,sigmoid,2,0.9709523809523809,0.9930952380952381,0.1269719441731771,41,42,537354,51.7,True,
dropout,0.0,0,0.9739285714285715,0.9978174603174603,0.11136870611281623,14,14,537354,16.4,True,
dropout,0.0,1,0.9745238095238096,0.998968253968254,0.10482193719773066,11,17,537354,19.8,True,
dropout,0.0,2,0.9772619047619048,0.9993253968253968,0.102036866687593,23,23,537354,31.6,True,
dropout,0.1,0,0.9735714285714285,0.9958333333333333,0.11369169689360119,18,19,537354,24.6,True,
dropout,0.1,1,0.9757142857142858,0.9956746031746032,0.09517107282366072,10,20,537354,30.4,True,
dropout,0.1,2,0.9761904761904762,0.9967063492063492,0.09454719906761533,13,19,537354,22.5,True,
dropout,0.2,0,0.9770238095238095,0.9955952380952381,0.10430967058454241,18,21,537354,27.8,True,
dropout,0.2,1,0.9747619047619047,0.9926587301587302,0.09476423717680432,11,17,537354,21.3,True,
dropout,0.2,2,0.9753571428571428,0.9938492063492064,0.09712589808872768,15,20,537354,32.9,True,
dropout,0.3,0,0.9770238095238095,0.9929365079365079,0.09604788643973214,18,20,537354,31.4,True,
dropout,0.3,1,0.9766666666666667,0.9924603174603175,0.10296848842075892,21,21,537354,30.2,True,
dropout,0.3,2,0.9754761904761905,0.9929761904761905,0.10066372099376861,20,21,537354,28.9,True,
dropout,0.5,0,0.9770238095238095,0.9896031746031746,0.09659487043108259,35,35,537354,67.8,True,
dropout,0.5,1,0.976547619047619,0.9860714285714286,0.08811830793108259,24,29,537354,46.9,True,
dropout,0.5,2,0.9772619047619048,0.9871031746031746,0.09009300595238096,27,27,537354,34.5,True,
hidden_sizes,128,0,0.968452380952381,0.9925793650793651,0.1197830563499814,26,26,102026,20.5,True,
hidden_sizes,128,1,0.968452380952381,0.9928968253968254,0.1188880121140253,26,26,102026,19.6,True,
hidden_sizes,128,2,0.9704761904761905,0.9913888888888889,0.11803752354213169,26,29,102026,21.6,True,
hidden_sizes,512,0,0.9720238095238095,0.9960714285714286,0.10636367797851562,17,19,408074,22.6,True,
hidden_sizes,512,1,0.9717857142857143,0.9957936507936508,0.10019500732421875,11,21,408074,25.4,True,
hidden_sizes,512,2,0.9703571428571428,0.9971031746031747,0.10813403901599702,17,20,408074,23.8,True,
hidden_sizes,512-256,0,0.9770238095238095,0.9955952380952381,0.10430967058454241,18,21,537354,26.2,True,
hidden_sizes,512-256,1,0.9747619047619047,0.9926587301587302,0.09476423717680432,11,17,537354,21.2,True,
hidden_sizes,512-256,2,0.9753571428571428,0.9938492063492064,0.09712589808872768,15,20,537354,25.5,True,
hidden_sizes,1024-512-256,0,0.9747619047619047,0.9933730158730159,0.11060108729771205,16,16,1466122,39.3,True,
hidden_sizes,1024-512-256,1,0.9777380952380952,0.9946428571428572,0.09920314243861607,18,20,1466122,49.9,True,
hidden_sizes,1024-512-256,2,0.9759523809523809,0.9952777777777778,0.10200642903645833,15,17,1466122,30.1,True,
hidden_sizes,512-512-512-512,0,0.9777380952380952,0.9920634920634921,0.09900004069010417,21,23,1199114,46.9,True,
hidden_sizes,512-512-512-512,1,0.9763095238095238,0.9883730158730158,0.10002942039853051,12,22,1199114,44.7,True,
hidden_sizes,512-512-512-512,2,0.976547619047619,0.9911507936507936,0.10815562656947544,21,22,1199114,46.8,True,
loss,cross_entropy,0,0.9770238095238095,0.9955952380952381,0.10430967058454241,18,21,537354,40.9,True,
loss,cross_entropy,1,0.9747619047619047,0.9926587301587302,0.09476423717680432,11,17,537354,36.3,True,
loss,cross_entropy,2,0.9753571428571428,0.9938492063492064,0.09712589808872768,15,20,537354,38.9,True,
loss,label_smoothing,0,0.9814285714285714,1.0,0.5570211356026785,88,100,537354,178.3,False,
loss,label_smoothing,1,0.9810714285714286,1.0,0.5594136555989583,65,82,537354,111.7,True,
loss,label_smoothing,2,0.9809523809523809,0.9984920634920635,0.5646507626488095,22,59,537354,115.9,True,
loss,nll,0,0.9770238095238095,0.9955952380952381,0.10430967058454241,18,21,537354,37.9,True,
loss,nll,1,0.9747619047619047,0.9926587301587302,0.09476423717680432,11,17,537354,26.9,True,
loss,nll,2,0.9753571428571428,0.9938492063492064,0.09712589808872768,15,20,537354,39.1,True,
loss,mse,0,0.9767857142857143,0.995515873015873,0.0038215233030773343,34,40,537354,78.8,True,
loss,mse,1,0.9780952380952381,0.9957539682539682,0.0036044266110374814,44,53,537354,84.3,True,
loss,mse,2,0.9758333333333333,0.995,0.003891571589878627,26,29,537354,57.2,True,
scheduler,none,0,0.9770238095238095,0.9955952380952381,0.10430967058454241,18,21,537354,30.3,True,
scheduler,none,1,0.9747619047619047,0.9926587301587302,0.09476423717680432,11,17,537354,22.3,True,
scheduler,none,2,0.9753571428571428,0.9938492063492064,0.09712589808872768,15,20,537354,26.3,True,
