epoch,train_loss,train_accuracy,val_loss,val_accuracy,seconds,learning_rate,grad_norm/network.1,grad_norm/network.5,grad_norm/network.9
1,0.3432553245907738,0.8938888888888888,0.15809557233537946,0.9515476190476191,1.6007320419885218,0.001,0.698270846139356,0.4766658260132456,0.4416640615705306
2,0.14218202621217757,0.9567063492063492,0.12095945812406994,0.9622619047619048,1.305406540981494,0.001,0.48515095202450825,0.3127327739889852,0.2941873424549393
3,0.09563758486793154,0.9701984126984127,0.10701769147600447,0.9669047619047619,1.173034582985565,0.001,0.4367670359345257,0.2720212984811231,0.2457221365217025
4,0.07395803784567212,0.9768650793650794,0.09809991745721726,0.9704761904761905,1.166527875000611,0.001,0.4008194589372819,0.24523290643837245,0.22221173126685437
5,0.05954055059523809,0.9817063492063492,0.09571314493815104,0.9723809523809523,1.1519227500539273,0.001,0.37545032791679883,0.22427104814403553,0.19878033090969027
6,0.045789552718874006,0.9853174603174604,0.09376320975167411,0.9741666666666666,1.1857202909886837,0.001,0.3381494434956972,0.19824621520066624,0.17219384672678062
7,0.04108868795727927,0.9875396825396825,0.09795572916666667,0.9729761904761904,1.2093314999947324,0.001,0.3360226626323564,0.19334308992182542,0.1666650917324318
8,0.03460476587689112,0.9884126984126984,0.0972823006766183,0.9727380952380953,1.3252912500174716,0.001,0.3119138146414975,0.17749331324233622,0.1542830975527691
9,0.028700135246155754,0.9913095238095239,0.09600369408017113,0.971547619047619,1.1928334169788286,0.001,0.27811867573539617,0.15720047926539696,0.13356988200076342
10,0.026345142182849703,0.991547619047619,0.0978504871186756,0.9733333333333334,1.229894791962579,0.001,0.2804417489143798,0.15658752325222577,0.13346061125624603
11,0.023725208100818452,0.9924603174603175,0.0976186043875558,0.9746428571428571,1.289117292035371,0.001,0.25913538666546043,0.14351155431137472,0.12388221624538984
12,0.022577701144748264,0.9930952380952381,0.1067622302827381,0.9710714285714286,1.2334227500250563,0.001,0.2581771424579136,0.14338229029311747,0.1200784208810874
13,0.02146791730608259,0.9926190476190476,0.09710999261765253,0.9748809523809524,1.2294089579954743,0.001,0.24848432589303418,0.13684540956758606,0.11715336136406448
14,0.019058632018074156,0.9936904761904762,0.10702315557570685,0.9719047619047619,1.1805292500648648,0.001,0.23504057753509677,0.1289604303195392,0.1101942013968066
15,0.021028558640252975,0.9926190476190476,0.10580391293480283,0.9739285714285715,1.1977867499226704,0.001,0.2561838953628153,0.1395493521908213,0.11833780550109553
16,0.019417581709604413,0.9940079365079365,0.10465682983398437,0.9738095238095238,1.1980816250434145,0.001,0.22816680288556868,0.1255746444469781,0.1106369192830197
