epoch,train_loss,train_accuracy,val_loss,val_accuracy,seconds,learning_rate,grad_norm/network.1,grad_norm/network.5,grad_norm/network.9,grad_norm/network.13
1,0.3159944080171131,0.9036507936507937,0.13378061930338542,0.9570238095238095,1.8986412910744548,0.001,0.6574723296964229,0.5942459881003133,0.41632939837305677,0.4088986779227475
2,0.1254588584294395,0.9609920634920635,0.12332800002325149,0.9622619047619048,1.7672315000090748,0.001,0.4545607978317338,0.37522822346179013,0.2572144639068449,0.2678900781621788
3,0.08794146825396826,0.9728968253968254,0.10675222487676711,0.9680952380952381,1.7901295840274543,0.001,0.39738541811250794,0.3130316177600531,0.21168324426951143,0.2243043928582051
4,0.0680882578047495,0.9781746031746031,0.09832925705682663,0.97,1.7475895420648158,0.001,0.36078465650529423,0.2747350198968413,0.18464602552694717,0.19897697177635232
5,0.05047108968098958,0.9838888888888889,0.09846920195079985,0.971547619047619,1.7862587500130758,0.001,0.32128635154762847,0.23649717224430916,0.15589564947912535,0.169857238149885
6,0.041413952055431545,0.9864285714285714,0.09626702444893973,0.9722619047619048,1.7706052910070866,0.001,0.2944133390629957,0.21361669550087245,0.14051724932520523,0.15551744257738143
7,0.04208712623232887,0.9864285714285714,0.10073031470889136,0.9692857142857143,1.7662198329344392,0.001,0.29754075181060635,0.2107574346706952,0.13860244557337106,0.15654806921324754
8,0.029614967467292908,0.9899206349206349,0.10045216878255209,0.9732142857142857,1.7792128749424592,0.001,0.24771391195694203,0.17411180680173302,0.11520220180453383,0.1303981645458241
9,0.03022552974640377,0.9896428571428572,0.09842625209263393,0.9722619047619048,1.8330144999781623,0.001,0.2591906707298937,0.17936859518138284,0.11666519629773754,0.13139882547601225
10,0.030094505188957094,0.9902777777777778,0.10541358584449405,0.9722619047619048,1.76694179198239,0.001,0.25118735841083045,0.17110479906730847,0.11125547147644353,0.12585871352762135
11,0.023641199989924356,0.9920238095238095,0.10244921003069196,0.9751190476190477,1.7565472080605105,0.001,0.22226308445034898,0.14935269815667632,0.09800050222329076,0.11613204878598905
12,0.02258033389136905,0.9928968253968254,0.1167723882765997,0.9716666666666667,1.7490797080099583,0.001,0.22022233759691268,0.1473895910427655,0.0952598842872581,0.11171410652586651
